"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"643","MrAssassin1492","https://yt3.ggpht.com/a/AGF-l780MKqvQ9vqM63D3CNQUNp17ZHjeZ7tm669Vg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCW7QIH8QndY5rU9PpHyKMHw","UCW7QIH8QndY5rU9PpHyKMHw","bsWWHo4KDHE","wtf. is there even a way to compile it into an exe. this is so frustrating
","wtf. is there even a way to compile it into an exe. this is so frustrating
","TRUE","none","0","2013-03-30T04:55:17.000Z","2013-03-30T04:55:17.000Z","UgztApum18WTwgT4pZV4AaABAg",NA,NA
"644","Ivandro Ismael Gomes Jao","https://yt3.ggpht.com/a/AGF-l78ndNqQZ8IJg3uV6FAxYrsISc4-Zfmm7WDmBg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2MQD-wi46UyIs0uvtOWVnA","UC2MQD-wi46UyIs0uvtOWVnA","bsWWHo4KDHE","That (void) means procedure","That (void) means procedure","TRUE","none","0","2013-03-29T00:17:16.000Z","2013-03-29T00:17:16.000Z","UgxI9hwUGnfm2o2qdKR4AaABAg",NA,NA
"645","Finni M.","https://yt3.ggpht.com/a/AGF-l78NuUP6NvXPD81e9QWBP6rl1D6vI7K6Q1GczA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeXp3umj61acPLheRyUQGTw","UCeXp3umj61acPLheRyUQGTw","bsWWHo4KDHE","dosent really matter","dosent really matter","TRUE","none","0","2013-03-27T13:23:43.000Z","2013-03-27T13:23:43.000Z","UgzWroKHBII-iDDlciZ4AaABAg",NA,NA
"646","Finni M.","https://yt3.ggpht.com/a/AGF-l78NuUP6NvXPD81e9QWBP6rl1D6vI7K6Q1GczA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeXp3umj61acPLheRyUQGTw","UCeXp3umj61acPLheRyUQGTw","bsWWHo4KDHE","-SPOILER-
comment != spam;
comment == funny song about functions;","-SPOILER-
comment != spam;
comment == funny song about functions;","TRUE","none","0","2013-03-27T13:21:12.000Z","2013-03-27T13:21:12.000Z","UgxAkdm7e40N-gGWSlB4AaABAg",NA,NA
"647","Alex Barker","https://yt3.ggpht.com/a/AGF-l78Oobk77isbZx29RlkEeYlljGMmK603E-pFEA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCYU-g1Na2T4pPtA5G8UEs8g","UCYU-g1Na2T4pPtA5G8UEs8g","bsWWHo4KDHE","You&#39;ve officially gained a subscriber, good sir. ","You've officially gained a subscriber, good sir. ","TRUE","none","0","2013-03-25T23:00:19.000Z","2013-03-25T23:00:19.000Z","UgzrG0AQQ6hcF-AllDp4AaABAg",NA,NA
"648","Derick R","https://yt3.ggpht.com/a/AGF-l7-Y0QhLyzHq5NTG_upx_9XkUqoi6QN0YpDXqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCB63Y_Ze7Znr1DHkaLZkvcA","UCB63Y_Ze7Znr1DHkaLZkvcA","bsWWHo4KDHE","You could easily complete 10 videos a day and have the beginner &quot;course&quot; completed in a week. Use other references to advance your skills. From what I&#39;ve read software developers/engineers need to know at least a few languages. ","You could easily complete 10 videos a day and have the beginner ""course"" completed in a week. Use other references to advance your skills. From what I've read software developers/engineers need to know at least a few languages. ","TRUE","none","0","2013-03-25T21:52:40.000Z","2013-03-25T21:52:40.000Z","UgwFLwUf_BApXGo8erZ4AaABAg",NA,NA
"649","Derick R","https://yt3.ggpht.com/a/AGF-l7-Y0QhLyzHq5NTG_upx_9XkUqoi6QN0YpDXqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCB63Y_Ze7Znr1DHkaLZkvcA","UCB63Y_Ze7Znr1DHkaLZkvcA","bsWWHo4KDHE","You completely missed the joke lol. It&#39;s from a movie.","You completely missed the joke lol. It's from a movie.","TRUE","none","0","2013-03-25T21:50:43.000Z","2013-03-25T21:50:43.000Z","UgwOOsM9MVDsa9B9l8t4AaABAg",NA,NA
"650","Derick R","https://yt3.ggpht.com/a/AGF-l7-Y0QhLyzHq5NTG_upx_9XkUqoi6QN0YpDXqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCB63Y_Ze7Znr1DHkaLZkvcA","UCB63Y_Ze7Znr1DHkaLZkvcA","bsWWHo4KDHE","Do you mean JavaScript?","Do you mean JavaScript?","TRUE","none","0","2013-03-25T21:50:02.000Z","2013-03-25T21:50:02.000Z","UgxHR56p9pr7QYu1Vup4AaABAg",NA,NA
"651","Dazed","https://yt3.ggpht.com/a/AGF-l78frdbNoY2gyXMuXQOt5-5_dLOoZ4HAbz0wqQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCuUPFJRkus0rrfSPh9yLjng","UCuUPFJRkus0rrfSPh9yLjng","bsWWHo4KDHE","because the more times you hear a phrase or definition.... hell anything for all that matters, the more likely you are to remember it and not have to reference this video or somewhere else for your answer.","because the more times you hear a phrase or definition.... hell anything for all that matters, the more likely you are to remember it and not have to reference this video or somewhere else for your answer.","TRUE","none","0","2013-03-21T18:51:16.000Z","2013-03-21T18:51:16.000Z","Ugweku9SoQytSYSRDLd4AaABAg",NA,NA
"652","RossRocks45","https://yt3.ggpht.com/a/AGF-l79pqv0j0MwPTlJ48r16XAVqPfcVfACl3spykg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCH7beMr46IwntIQyOtm6DvQ","UCH7beMr46IwntIQyOtm6DvQ","bsWWHo4KDHE","It&#39;s for beginners, man. It helped me. ","It's for beginners, man. It helped me. ","TRUE","none","0","2013-03-20T11:00:48.000Z","2013-03-20T11:00:48.000Z","Ugx1Vf3jKbo70ibHmpN4AaABAg",NA,NA
